Wall time,Step,Value
1651558555.8342946,0,9.637957572937012
1651558573.2324018,20,9.628042221069336
1651558598.5636163,40,9.246886253356934
1651558635.131088,60,7.870519638061523
1651558659.0266857,80,7.10775089263916
1651558692.4806695,100,6.878623008728027
1651558715.5116012,120,6.874188423156738
1651558738.8170016,140,8.07789421081543
1651558771.4613662,160,7.431323051452637
1651558795.5876467,180,6.493436813354492
1651558829.7639232,200,7.467017650604248
1651558852.4450173,220,7.05336856842041
1651558874.8133695,240,6.702757835388184
1651558906.9876025,260,7.574974060058594
1651558930.6715658,280,7.151702880859375
1651558964.8208945,300,7.945700645446777
1651558986.9634032,320,6.307309627532959
1651559010.9446192,340,5.7244768142700195
1651559043.7676337,360,5.700098991394043
1651559066.1999445,380,5.217380523681641
1651559099.8296223,400,4.944271564483643
1651559122.8236032,420,4.412167072296143
1651559146.6046362,440,4.2930498123168945
1651559180.7162786,460,4.159460544586182
1651559203.8995895,480,4.224481105804443
1651559236.3637066,500,3.93386173248291
1651559258.017748,520,3.713557481765747
1651559282.0756087,540,3.9929232597351074
1651559316.4824414,560,3.7353897094726562
1651559340.543765,580,3.8644866943359375
1651559374.2047043,600,3.5858824253082275
1651559396.9770367,620,3.439850330352783
1651559420.2564797,640,3.3405213356018066
1651559453.0956948,660,3.004383087158203
1651559476.3435128,680,2.864234685897827
1651559514.9160163,700,3.1716179847717285
1651559538.6160483,720,3.313720941543579
1651559561.1878607,740,3.5433359146118164
1651559594.2454412,760,3.0219459533691406
1651559617.4296918,780,3.1784908771514893
1651559651.414905,800,3.313582181930542
1651559676.9472787,820,3.087468147277832
1651559700.024121,840,3.064207077026367
1651559732.1061149,860,2.7986485958099365
1651559755.491546,880,2.9787344932556152
1651559790.4426596,900,2.71598219871521
1651559812.8395143,920,2.727867364883423
1651559836.7676084,940,2.3539645671844482
1651559869.9201663,960,2.8673272132873535
1651559895.4315195,980,2.5889639854431152
1651559931.0402381,1000,2.274085760116577
1651559954.6172595,1020,2.518960475921631
1651559977.4566133,1040,2.38049578666687
1651560011.283073,1060,2.5788559913635254
1651560034.147507,1080,2.4083969593048096
1651560068.5615938,1100,2.5433835983276367
1651560091.6195052,1120,2.4282636642456055
1651560114.3554537,1140,2.2810521125793457
1651560147.4276276,1160,2.276118278503418
1651560171.8549163,1180,2.323470115661621
1651560208.0921016,1200,2.309706449508667
1651560230.543614,1220,2.020047664642334
1651560254.1898289,1240,2.471238613128662
1651560286.1915412,1260,2.792393445968628
1651560308.635583,1280,2.4896128177642822
1651560343.7044353,1300,2.2647223472595215
1651560366.5510874,1320,2.2848546504974365
1651560388.6110752,1340,2.192678213119507
1651560424.8196754,1360,2.1102685928344727
1651560448.0848508,1380,2.029449701309204
1651560483.6608338,1400,1.8403799533843994
1651560506.6907408,1420,2.5922141075134277
1651560530.6716075,1440,2.0847175121307373
1651560565.8116171,1460,2.210268020629883
1651560590.1977415,1480,2.315065860748291
1651560625.2999334,1500,2.3388028144836426
1651560648.8756666,1520,1.9853403568267822
1651560675.1311278,1540,2.235750675201416
1651560709.576518,1560,2.00106143951416
1651560734.0425599,1580,2.3851354122161865
1651560768.5880146,1600,2.2278120517730713
1651560793.3878403,1620,2.091747283935547
1651560817.2622652,1640,1.960336446762085
1651560851.482391,1660,2.2615268230438232
1651560875.3437476,1680,2.0664706230163574
1651560910.69284,1700,1.8279536962509155
1651560934.5395408,1720,2.239394187927246
1651560958.453313,1740,2.2120587825775146
1651560994.6676247,1760,1.9291532039642334
1651561018.7711701,1780,2.4232378005981445
1651561054.120849,1800,2.050264596939087
1651561078.4014273,1820,1.766790747642517
1651561101.4170492,1840,2.3070359230041504
1651561134.9556823,1860,1.6396386623382568
1651561159.87959,1880,1.9933626651763916
1651561195.45014,1900,1.9695560932159424
1651561220.1063418,1920,1.753239393234253
1651561243.7315407,1940,1.807104468345642
1651561277.2351477,1960,1.8545806407928467
1651561301.4151244,1980,1.6500500440597534
1651561338.3799577,2000,1.6852607727050781
1651561362.3636062,2020,1.7405534982681274
1651561385.2617776,2040,1.8417308330535889
1651561420.9117198,2060,2.089491128921509
1651561444.9155304,2080,1.6634694337844849
1651561482.2214878,2100,1.684171438217163
1651561507.1755364,2120,1.7828748226165771
1651561530.5355635,2140,1.6440556049346924
1651561565.4639597,2160,1.6985983848571777
1651561590.3248725,2180,1.3462940454483032
1651561624.421117,2200,2.184546947479248
1651561648.2134635,2220,1.6189827919006348
1651561672.019604,2240,1.8533272743225098
1651561707.165101,2260,1.6545641422271729
1651561730.6796725,2280,1.8635270595550537
1651561766.8374493,2300,1.8161189556121826
1651561792.351978,2320,1.4934824705123901
1651561815.106523,2340,1.6233354806900024
1651561850.0516086,2360,1.7700761556625366
1651561874.1276486,2380,1.772623062133789
1651561910.3760877,2400,2.0508368015289307
1651561935.1904786,2420,1.5887504816055298
1651561958.6370342,2440,1.7277072668075562
1651561993.9355836,2460,1.6320445537567139
1651562018.7955577,2480,1.4919065237045288
