Wall time,Step,Value
1651562484.278489,0,10.459556579589844
1651562502.1316235,20,8.367897033691406
1651562527.6176226,40,9.612403869628906
1651562565.0941377,60,5.494901657104492
1651562589.6916418,80,4.7192840576171875
1651562631.041835,100,4.806217670440674
1651562655.5435448,120,4.3112053871154785
1651562679.0123506,140,3.9219188690185547
1651562719.8515515,160,4.0986127853393555
1651562744.3918784,180,3.9102540016174316
1651562786.7104063,200,3.575955390930176
1651562809.394184,220,3.3341076374053955
1651562832.6875725,240,3.2178738117218018
1651562876.7275581,260,3.0867762565612793
1651562900.8007674,280,2.783818244934082
1651562950.9488366,300,2.380533456802368
1651562974.0076106,320,2.5634756088256836
1651562997.6516669,340,2.1264328956604004
1651563043.9555938,360,2.3344271183013916
1651563067.1675355,380,2.1890361309051514
1651563110.9679856,400,2.0871644020080566
1651563134.5060806,420,1.7719043493270874
1651563158.6157389,440,1.7893086671829224
1651563197.1933465,460,1.7840790748596191
1651563222.2696443,480,1.7283596992492676
1651563263.7760146,500,1.6581838130950928
1651563287.7751553,520,1.4166041612625122
1651563311.8467886,540,1.5653953552246094
1651563361.0076447,560,1.481968641281128
1651563386.7035975,580,1.705763339996338
1651563428.5081227,600,1.4355336427688599
1651563452.7276418,620,1.2941149473190308
1651563477.5475676,640,1.2756292819976807
1651563523.1556206,660,1.1080729961395264
1651563548.4279714,680,1.0498474836349487
1651563592.8039825,700,1.1520195007324219
1651563618.702607,720,1.2996330261230469
1651563642.5114002,740,1.422106385231018
1651563683.184176,760,1.1810364723205566
1651563710.0073187,780,1.2340818643569946
1651563758.8126438,800,1.3073989152908325
1651563786.3550768,820,1.1963783502578735
1651563810.4824173,840,1.2234559059143066
1651563851.7663376,860,1.1048539876937866
1651563876.1268883,880,1.0688903331756592
1651563917.618408,900,1.072256326675415
1651563941.031865,920,1.0364363193511963
1651563966.3233273,940,0.8447154760360718
1651564005.4075584,960,1.0891541242599487
1651564031.0397983,980,0.9154755473136902
1651564079.8957796,1000,0.8054544925689697
1651564104.5727193,1020,0.9684244394302368
1651564129.1999133,1040,0.8937704563140869
1651564168.082897,1060,0.9954129457473755
1651564193.2381074,1080,0.9682928323745728
1651564234.303916,1100,0.9934555292129517
1651564259.2292602,1120,0.9301020503044128
1651564282.9917178,1140,0.8312897682189941
1651564322.127581,1160,0.897766649723053
1651564346.882168,1180,0.8409433364868164
1651564389.2079477,1200,0.8288152813911438
1651564412.9878352,1220,0.7316220998764038
1651564438.9317346,1240,0.8518726229667664
1651564477.6619425,1260,1.1033180952072144
1651564503.4636898,1280,0.9815938472747803
1651564547.93873,1300,0.8111368417739868
1651564572.1114094,1320,0.8495537042617798
1651564596.6835415,1340,0.8300094604492188
1651564640.0876758,1360,0.8264581561088562
1651564665.0356874,1380,0.6960452795028687
1651564708.7470713,1400,0.6655605435371399
1651564733.267576,1420,0.9832725524902344
1651564758.4925375,1440,0.7924193143844604
1651564800.53887,1460,0.8461505770683289
1651564826.3716176,1480,0.896879255771637
1651564867.9984975,1500,0.8021146059036255
1651564892.6356845,1520,0.7338598966598511
1651564919.8773127,1540,0.7551863193511963
1651564958.751587,1560,0.7057459950447083
1651564982.7456312,1580,0.9042156934738159
1651565025.0560296,1600,0.8837757706642151
1651565050.187868,1620,0.7102218866348267
1651565074.3276148,1640,0.8046452403068542
1651565118.8516343,1660,0.8423107862472534
1651565142.6561165,1680,0.746003270149231
1651565183.2926438,1700,0.6291700601577759
1651565206.939185,1720,0.8766595125198364
1651565233.003558,1740,0.8915921449661255
1651565275.291632,1760,0.7264609336853027
1651565301.3891575,1780,0.9451175332069397
1651565342.6840942,1800,0.7496816515922546
1651565368.2989097,1820,0.6719595193862915
1651565392.9636636,1840,0.868490993976593
1651565431.3350906,1860,0.531934380531311
1651565458.4830468,1880,0.685985803604126
1651565504.7880363,1900,0.7415701150894165
1651565531.9975061,1920,0.7042944431304932
1651565557.1515992,1940,0.6344523429870605
1651565895.624878,1960,0.5628975629806519
1651565920.3932068,1980,0.7385506629943848
1651565962.9520552,2000,0.8188331127166748
1651565988.9156716,2020,0.7151071429252625
1651566014.447703,2040,0.5678131580352783
1651566053.8676915,2060,0.7271652817726135
1651566078.5195577,2080,0.6772148013114929
1651566119.5579376,2100,0.6627610325813293
1651566144.6837158,2120,0.6414962410926819
1651566170.2913165,2140,0.6552363038063049
1651566210.4035745,2160,0.5543276071548462
1651566234.9635353,2180,0.7359693646430969
1651566277.8200758,2200,0.504265308380127
1651566304.3635926,2220,0.7544026374816895
1651566330.775666,2240,0.4628070294857025
1651566370.7915795,2260,0.5038963556289673
1651566396.2156615,2280,0.6309231519699097
1651566437.7399683,2300,0.5165334939956665
1651566462.676276,2320,0.6095355749130249
1651566487.3712945,2340,0.6664445400238037
1651566525.2567964,2360,0.667595624923706
1651566552.5453117,2380,0.6289633512496948
1651566594.6635315,2400,0.5995529890060425
1651566622.2755373,2420,0.5404134392738342
1651566647.8272872,2440,0.5513807535171509
1651566687.6450107,2460,0.5167801380157471
1651566714.9811115,2480,0.49979788064956665
