Wall time,Step,Value
1651504054.0966997,0,13.103194236755371
1651504071.0050552,20,11.702510833740234
1651504095.4317386,40,11.273024559020996
1651504169.8505943,60,10.874773979187012
1651504192.5236359,80,10.716477394104004
1651504291.060672,100,10.238420486450195
1651504315.923694,120,9.917057991027832
1651504338.1653817,140,9.367959976196289
1651504369.1321208,160,8.080863952636719
1651504394.1159718,180,6.556025505065918
1651504428.0464869,200,5.849051475524902
1651504453.6323233,220,5.685988426208496
1651504477.5037322,240,5.387448787689209
1651504509.447804,260,5.505456447601318
1651504534.0046718,280,4.763942718505859
1651504566.7723892,300,4.829216003417969
1651504591.0206006,320,4.70833683013916
1651504616.9566395,340,4.257391929626465
1651504644.827714,360,4.621158123016357
1651504668.0489101,380,4.900057315826416
1651504699.6022263,400,4.412139415740967
1651504725.1284552,420,4.369202136993408
1651504751.151227,440,4.01619815826416
1651504781.4281366,460,4.225841045379639
1651504807.076094,480,4.205777645111084
1651504845.468933,500,4.222032070159912
1651504870.1495578,520,4.234523296356201
1651504895.859527,540,3.7140891551971436
1651504928.0604513,560,3.946157217025757
1651504954.9439583,580,3.915630340576172
1651504989.5030432,600,3.6655473709106445
1651505013.4362648,620,3.6632378101348877
1651505037.064044,640,3.6432793140411377
1651505070.0535257,660,3.572939872741699
1651505096.409738,680,3.476912498474121
1651505129.5710094,700,3.4452028274536133
1651505154.7787797,720,3.45662260055542
1651505179.748026,740,3.469695568084717
1651505211.4291325,760,3.513042449951172
1651505236.6127894,780,3.52471923828125
1651505270.625636,800,3.9353394508361816
1651505294.7815144,820,3.747431993484497
1651505321.9111314,840,3.254695415496826
1651505352.6737928,860,3.4489388465881348
1651505379.0518656,880,3.1634421348571777
1651505413.2393289,900,3.110347270965576
1651505437.6961515,920,3.4146509170532227
1651505463.2807555,940,3.6949222087860107
1651505495.0205925,960,3.237384796142578
1651505522.0972939,980,3.593418598175049
1651505553.2353933,1000,3.024909257888794
1651505577.713581,1020,3.3949098587036133
1651505602.4761066,1040,3.023958206176758
1651505633.4839141,1060,3.3078441619873047
1651505658.576667,1080,3.6539993286132812
1651505691.683899,1100,3.55446720123291
1651505717.2619157,1120,3.1639561653137207
1651505743.0258324,1140,3.6963424682617188
1651505772.8401253,1160,2.9187405109405518
1651505799.5257697,1180,3.337895154953003
1651505832.7959967,1200,3.0203585624694824
1651505856.4359863,1220,3.0807948112487793
1651505881.7796087,1240,2.7472996711730957
1651505913.8759928,1260,3.0651628971099854
1651505939.2477703,1280,2.970416307449341
1651505974.2128377,1300,3.0854125022888184
1651506001.3478668,1320,2.930210590362549
1651506025.6320038,1340,2.8839526176452637
1651506055.5550532,1360,2.799574851989746
1651506082.5361023,1380,3.4237687587738037
1651506115.456631,1400,2.9492430686950684
1651506140.1908429,1420,2.6424741744995117
1651506164.4193115,1440,2.7608015537261963
1651506194.6872108,1460,2.728172779083252
1651506219.1917355,1480,3.1559038162231445
1651506248.8086936,1500,2.7976598739624023
1651506273.6238923,1520,2.818066120147705
1651506296.8397126,1540,2.805678367614746
1651506330.5945606,1560,2.8762683868408203
1651506354.8718789,1580,2.993302822113037
1651506389.8443558,1600,2.899819850921631
1651506414.35861,1620,2.869534492492676
1651506439.6299376,1640,3.0963613986968994
1651506469.5245295,1660,2.5546398162841797
1651506496.5373926,1680,2.676844596862793
1651506529.6966352,1700,2.3844263553619385
1651506553.977412,1720,2.7512927055358887
1651506578.5955155,1740,2.9643490314483643
1651506610.544075,1760,2.5048599243164062
1651506635.3599365,1780,2.474407434463501
1651506670.0633636,1800,2.247515916824341
1651506696.7679682,1820,2.5433924198150635
1651506722.7402818,1840,2.7184481620788574
1651506750.9838452,1860,2.7455637454986572
1651506775.8403668,1880,2.5034732818603516
1651506811.1975353,1900,2.6773481369018555
1651506836.343857,1920,2.475226402282715
1651506859.2426379,1940,2.638488292694092
1651506891.5317347,1960,2.7695412635803223
1651506917.605745,1980,2.759072780609131
1651506954.5331311,2000,2.58266282081604
1651506980.072485,2020,2.784764528274536
1651507006.115458,2040,2.735386610031128
1651507037.7802405,2060,2.9414455890655518
1651507061.6682873,2080,2.392547607421875
1651507098.536546,2100,2.507791757583618
1651507125.9641488,2120,2.506403684616089
1651507151.0418823,2140,2.2464981079101562
1651507181.6717093,2160,2.5481369495391846
1651507208.577409,2180,2.57595157623291
1651507244.2160645,2200,2.6194424629211426
1651507271.0151002,2220,2.734954833984375
1651507298.9481936,2240,2.703500986099243
1651507331.4478464,2260,2.61669659614563
1651507356.8620386,2280,2.59228777885437
1651507390.256093,2300,2.274547576904297
1651507415.7897751,2320,2.576850414276123
1651507439.7681844,2340,2.861048460006714
1651507472.1158843,2360,2.4070932865142822
1651507500.1046896,2380,2.4502506256103516
1651507533.8897033,2400,2.6387431621551514
1651507560.6407354,2420,2.0212743282318115
1651507586.0317154,2440,2.370436191558838
1651507617.0162158,2460,2.26857590675354
1651507645.0808845,2480,2.7351441383361816
